ID,Topic,Evidence,Business Meaning,Modelling Impact,Limitation
EDA01,Missing CustomerID,"135,080 rows (24.93%) have missing CustomerID",A substantial share of transactions cannot be linked to identified customers,Exclude these rows from customer segmentation and segment-specific rules,Anonymous purchasing behaviour will not be represented in customer segments
EDA02,Missing Description,"1,454 descriptions are missing; every such row also lacks CustomerID",These records provide limited product and customer interpretation,Exclude from merchandise-level analysis after preserving raw evidence,Some inventory activity may be removed
EDA03,Exact duplicates,"5,268 additional exact duplicate rows (0.97%)",Repeated records could inflate sales and product frequency,Retain one copy during preprocessing and record before/after counts,No line-level identifier exists to prove whether every repetition is erroneous
EDA04,Cancellations and returns,"9,288 cancellation rows; 10,624 negative-quantity rows","The dataset contains cancellations, returns and stock adjustments",Exclude from purchase-only RFM but preserve separately for return analysis,Not every negative quantity has a C-prefixed invoice
EDA05,Invalid purchase prices,"2 negative-price and 2,515 zero-price rows",These rows cannot represent normal positive sales revenue,Exclude from purchase-only monetary calculations,Some zero-price records may represent samples or internal adjustments
EDA06,Administrative StockCodes,"2,310 candidate administrative rows worth £394,205.67","Fees, postage and manual adjustments are mixed with merchandise",Exclude from product association rules; test monetary sensitivity,Some charges may represent genuine customer expenditure
EDA07,Extreme purchasing values,"Maximum valid line total is £168,469.60; maximum quantity is 80,995",Wholesale or exceptional transactions strongly affect totals,"Compare raw, log-transformed and robustly scaled customer features",Statistical outliers are not necessarily data errors
EDA08,Geographic imbalance,UK represents 91.45% of valid rows and 84.59% of revenue,Results primarily describe the UK customer base,Do not automatically encode Country; consider UK-only sensitivity,Segments may not generalise equally to smaller countries
EDA09,Incomplete final month,December 2011 contains transactions only from 01 to 09 December,December 2011 monthly totals are incomplete,Flag the month and avoid direct full-month comparison,The dataset does not cover a complete second December
EDA10,Product-description inconsistency,217 StockCodes have multiple cleaned descriptions,Descriptions changed or contain spelling/naming variations,Use StockCode as item ID and canonical description for reporting,Canonical labels may hide historical description changes
EDA11,Customer purchasing frequency,34.73% have one invoice; 65.27% have multiple invoices,The observed customer base includes both one-purchase and repeat buyers,Frequency is a useful segmentation feature,One observed invoice does not prove a customer is genuinely new
EDA12,Customer revenue concentration,Top 1% generate 32.20%; top 10% generate 61.42% of merchandise revenue,A small high-value customer group contributes much of the revenue,"Test transformations, scaling and outlier sensitivity",High-value customers may include wholesalers
